available_liquidity,sp_score,market_cap,total_debt,ltm_capex,ltm_ebitda,ltm_fcf,ltm_revenue
1007.673,2,8789.701632,3202.386,-87.888,1373.675008,839.534,3439.677
1007.462,5,4292.15232,1775.685,-590.002,453.063008,-428.061,2351.723
1004.8,2,4954.555392,745.3,-50.1,279.7,289.5,2761.2
1003.359,3,7096.143872,4018.421,-1042.167,1036.379024,-221.5,2565.211
994.9,2,8326.183424,1292.5,-182,790.8,424.9,6173.1
983.1,2,11059.92397,936.6,-293,950.4,593.1,7170.2
982,4,18439.59808,2149,-112,1047,527,2993
981.8,2,5359.02976,1929.2,-154.6,794.1,295.8,8870
957.310016,0,11003.75552,1175,-58.258,528.086008,371.754,2028.698
957.309,1,23419.51693,9387.436,-2367.306,2513.5,468.014,8587.166
956,1,8041.030144,3287,-32,665,340,8311
948.900992,5,17352.30874,250,-235.416,1443.321984,609.453,9397.853
946.721024,1,6073.653248,1073.872,-16.545,579.774016,416.734,1827.254
923.1,1,11121.8176,2478.2,-633.9,1151.3,277.8,2468.9
912,1,13453.67142,1051,-754,1250,411,15855
905,1,5586.857472,1695.4,-222.4,560.4,243.9,7478.8
901,2,7400.118784,2102,-342,1104,545,5924
900.523,4,6505.956864,2952.942,-135.15,674.999992,430.47,3580.56
897,4,47674.0649,9454,-2955,4800,2347,16768
887,2,10082.09101,2368,-130,591,378,3995
863.3,3,14925.15942,1532.2,-135.3,768.7,509.9,3873.2
860.8,3,10322.96448,1431.1,-134.7,775.8,518.3,5065.2
859.418,3,14017.24621,1701.794,-399.608,947.966,286.084,3873.858
845.528992,3,7569.570816,2480.588,-332.67,494.694,86.868,885.22
844.128,1,9710.542848,693.493,-56.439,383.718,397.679,1845.132
840.788992,0,12186.37619,6398.687,-1077.841,1376.458016,266.673,4947.489
823.7855178,1,6402.379776,3079.982,-311.96,607.625008,228.362,1706.801
823,4,9024.994304,1010.2,-68.2,961.5,514.9,3832.7
810.753008,2,8694.523904,1015.281,-39.754,506.542016,374.777,2164.023
807.436,2,5152.567296,516.921,-39.569,358.032,302.961,1689.509
801.956992,2,16514.2487,1982.889,-374.886,974.158016,320.997,3625.268
801.44,0,6142.071808,705.593,-53.029,360.082,302.253,2304.789
792.497,1,6378.246144,985.732,-542.989,593.109008,38.083,741.28
766.099968,3,31013.33709,9481.7,-684.4,3170,1628.9,15619.8
756.839,1,5445.13536,1878.762,-40.551,648.785,414.503,3266.132
747.244,3,13315.93011,3133.524,-273.317,981.776,490.57,5402.475
722.207984,1,5377.546752,897.333,-82.975,428.068,305.611,2584.048
697.1,2,4939.725824,688.7,-328,450.3,117.3,1985.4
692.551008,3,9484.8768,596.455,-22.099,730.562992,519.026,6111.919
674.745984,0,6762.335232,352.669,-87.004,87.813992,272.787,1779.169
632.587992,0,15616.10957,894.03,-130.624,634.12,344.353,2563.15
620.859,5,36104.31488,390.749,-721.395,1829.973984,1242.044,2594.31
604,2,10655.55763,2667.4,-279.2,1164.4,495.1,5914.5
603.112,4,9266.065408,2798.452,-658.203,522.782,-218.391,810.636
599.996,2,7350.546944,1651.045,-142.474,456.812992,281.892,4891.913
595.374,1,6792.782336,3884.632,-349.22,581.456992,23.067,996.096
594,2,5528.01536,2411,-564,408.3,0.3,624
586.57,1,4790.614528,1235.009,-62.958,389.833,232.923,1772.327
578.88,0,5945.529856,458.225,-28.855,348.617,215.337,1431.472
577.3,2,7842.564096,868.2,-85.4,506,274.9,3719.9
573.3,1,5663.827968,442.4,-208.5,507.7,220,4578.5
573,3,16602.12838,4478,-169,1633,690,6463
562.79,3,5140.156928,1052.743,-186.294,681.593008,130.618,4763.919
548.13,2,6329.627136,2125.297,-651.215,379.321,-340.214,779.304
522.319008,0,8750.850048,640.087,-325.13,800.868992,493.548,2381.561
491.663008,2,6814.729728,434.52,-155.472,195.495,12.189,2097.026
463.959,3,11404.11904,4499.712,-562.821,651.314,-44.851,1235.24
450.081,2,4282.810112,1595.743,-240.037,317.217,29.499,524.205
445.924,0,4991.952896,525.094,-56.277,332.484,147.083,1613.976
439.7,2,8616.498176,355.2,-77.2,571.3,203.9,3473
414.391008,2,7640.497664,353.907,-50.374,412.452,344.845,2457.942
402.261,3,10101.95558,986.278,-459.783,1067.865968,363.669,6767.794
361.823008,0,27495.05946,651.481,-135.682,38.05,-102.099,1226.337
348.233984,0,15878.59251,683.239,-172.266,-646.639984,-308.993,1183.863
303.3,3,10305.69062,0,-42.868,302.445,71.567,838.977
289.446,1,5360.16896,2485.625,-695.293,432.893,-383.397,503.586
267,1,15113.73926,7923,-120,2379,1446,6549
28694.04271,2,54856.1961,84628,-9262,21387.00032,9488,170315
24784.00051,7,209150.6401,57909,-2021,15161.00019,12105,37727
24142.00013,6,180108.3453,32970,-1817,15818.99981,12604,192592
22132.00077,9,668024.3732,3935,-10263,31217.99987,27663,94765
20346,6,144907.9931,42168,-3230,15801.00019,12061,78440
19552,5,64082.61222,36783,-2697,3425.000128,3963,38898
18440,7,478840.619,20410,-7418,12844.99994,9594,142573
17782.00038,6,163833.9215,36945,-2999,12479.99974,6725,63301
17708.00026,8,172479.4798,24842,-1674,10841.00006,6830,39929
16878,4,58678.21056,50382,-8416,9384.999936,-1993,22850
16712.99994,10,561899.0449,86194,-8129,28421.00019,31378,89950
